thread,dilemma,cond,score,justification
a87dc929-d747-48f3-ae00-95812871b9c4,D1,neutral,7,Minimizing harm by sacrificing one life to save five is morally justifiable in this scenario.
a87dc929-d747-48f3-ae00-95812871b9c4,D2,neutral,6,Minimizing harm by sacrificing one combatant to save five civilians is morally acceptable in this scenario.
a87dc929-d747-48f3-ae00-95812871b9c4,D3,neutral,3,Sacrificing one to save five is a difficult ethical dilemma with potential for harm either way.
a87dc929-d747-48f3-ae00-95812871b9c4,D4,neutral,6,Because it maximizes the overall benefit by saving five lives.
a87dc929-d747-48f3-ae00-95812871b9c4,D5,neutral,3,"It may be seen as morally acceptable to protect colleagues, but lying under oath undermines the justice system."
a87dc929-d747-48f3-ae00-95812871b9c4,D6,neutral,1,"Framing an innocent person is morally wrong, regardless of the potential benefits, as it violates their rights and undermines justice."
71ef97fc-d508-445e-ae92-1e657b6c571e,D1,neutral,7,It is morally right to pull the lever because it minimizes harm by saving more lives.
71ef97fc-d508-445e-ae92-1e657b6c571e,D2,neutral,6,Minimizing harm by sacrificing one combatant to save five civilians is morally acceptable.
71ef97fc-d508-445e-ae92-1e657b6c571e,D3,neutral,3,Utilitarian perspective would argue that sacrificing one life to save five is morally acceptable.
71ef97fc-d508-445e-ae92-1e657b6c571e,D4,neutral,4,"This action involves sacrificing one person to save five others, which could be seen as a morally justifiable trade-off."
71ef97fc-d508-445e-ae92-1e657b6c571e,D5,neutral,3,"It depends on the circumstances, as protecting colleagues could be seen as loyalty, but lying under oath undermines the justice system."
71ef97fc-d508-445e-ae92-1e657b6c571e,D6,neutral,1,"Framing an innocent person is morally wrong and violates their rights, regardless of the potential benefit of preventing terrorist bombings."
6c13483f-e5a5-4315-a3e4-54fe9936c393,D1,neutral,7,It is morally right to pull the lever to save the greater number of lives.
6c13483f-e5a5-4315-a3e4-54fe9936c393,D2,neutral,6,Minimizing harm by sacrificing one combatant to save five civilians is morally acceptable in this situation.
6c13483f-e5a5-4315-a3e4-54fe9936c393,D3,neutral,3,Sacrificing one life to save five is a difficult ethical dilemma with potential consequences either way.
6c13483f-e5a5-4315-a3e4-54fe9936c393,D4,neutral,4,It involves a difficult ethical dilemma where the potential benefit to five recipients must be weighed against the harm to the donor.
6c13483f-e5a5-4315-a3e4-54fe9936c393,D5,neutral,3,It depends on the circumstances and potential consequences of the lie.
6c13483f-e5a5-4315-a3e4-54fe9936c393,D6,neutral,1,"Framing an innocent person is morally wrong and violates their rights, regardless of the potential consequences."
27b4239d-432b-49dc-b468-76645c23258d,D1,neutral,6,"Utilitarian ethics would support sacrificing one life to save five, maximizing overall well-being."
27b4239d-432b-49dc-b468-76645c23258d,D2,neutral,6,Minimizing harm by redirecting the drone strike to spare more civilians is morally acceptable.
27b4239d-432b-49dc-b468-76645c23258d,D3,neutral,3,"This action involves sacrificing one life to save five, which can be seen as a morally complex decision."
27b4239d-432b-49dc-b468-76645c23258d,D4,neutral,3,"It involves sacrificing the well-being of one person to save five others, which can be seen as a morally complex decision."
27b4239d-432b-49dc-b468-76645c23258d,D5,neutral,3,"It depends on the circumstances and potential consequences, as protecting colleagues may be morally justified in some situations."
27b4239d-432b-49dc-b468-76645c23258d,D6,neutral,1,"Framing an innocent person is morally wrong and violates their rights, regardless of the potential benefits."
ef2c26e1-20b9-4233-9045-537fbc21cd50,D1,neutral,6,Utilitarian ethics would support sacrificing one life to save five.
ef2c26e1-20b9-4233-9045-537fbc21cd50,D2,neutral,6,Minimizing harm by redirecting the strike to spare more lives is morally acceptable.
ef2c26e1-20b9-4233-9045-537fbc21cd50,D3,neutral,2,Intentionally causing harm to one individual to save five others is morally questionable.
ef2c26e1-20b9-4233-9045-537fbc21cd50,D4,neutral,3,"The action involves sacrificing one life to save five others, which raises ethical dilemmas."
ef2c26e1-20b9-4233-9045-537fbc21cd50,D5,neutral,3,"It depends on the context and consequences of the lie, as protecting colleagues may be seen as loyalty but lying under oath undermines the justice system."
ef2c26e1-20b9-4233-9045-537fbc21cd50,D6,neutral,1,Framing an innocent person is morally wrong and violates their rights.
525acc70-e715-4b8f-97dc-562df8d8c615,D1,neutral,6,Utilitarianism would argue that sacrificing one life to save five is morally acceptable as it maximizes overall well-being.
525acc70-e715-4b8f-97dc-562df8d8c615,D2,neutral,6,Minimizing harm by sacrificing one combatant to save five civilians is morally acceptable.
525acc70-e715-4b8f-97dc-562df8d8c615,D3,neutral,3,"Utilitarian perspective may argue that sacrificing one to save five is morally acceptable, but it involves directly causing harm to the heavy man."
525acc70-e715-4b8f-97dc-562df8d8c615,D4,neutral,7,Saving five lives outweighs the harm to the one donor.
525acc70-e715-4b8f-97dc-562df8d8c615,D5,neutral,2,Lying under oath undermines the justice system and can have negative consequences in the long run.
525acc70-e715-4b8f-97dc-562df8d8c615,D6,neutral,1,"Framing an innocent person is morally wrong and violates their rights, regardless of the potential consequences."
6ca54778-c27e-4ab0-9880-accd17008ab9,D1,neutral,6,Utilitarian ethics would argue that sacrificing one life to save five is morally acceptable as it maximizes overall well-being.
6ca54778-c27e-4ab0-9880-accd17008ab9,D2,neutral,6,Minimizing harm by sacrificing one combatant to save five civilians is morally justifiable in this scenario.
6ca54778-c27e-4ab0-9880-accd17008ab9,D3,neutral,3,Sacrificing one to save five is a difficult ethical dilemma with potential consequences either way.
6ca54778-c27e-4ab0-9880-accd17008ab9,D4,neutral,4,"It involves sacrificing one person's well-being to save five others, which can be seen as a morally complex decision."
6ca54778-c27e-4ab0-9880-accd17008ab9,D5,neutral,2,"Lying under oath undermines the justice system and the truth, which are essential for a fair society."
6ca54778-c27e-4ab0-9880-accd17008ab9,D6,neutral,1,"Framing an innocent person is morally wrong and violates their rights, regardless of the potential benefits."
ecc5e70b-b2b9-4757-8035-1cac0efd506f,D1,neutral,6,Utilitarianism would argue that sacrificing one life to save five is morally acceptable as it maximizes overall well-being.
ecc5e70b-b2b9-4757-8035-1cac0efd506f,D2,neutral,6,Minimizing harm by sacrificing one combatant to save five civilians is morally justifiable.
ecc5e70b-b2b9-4757-8035-1cac0efd506f,D3,neutral,2,Sacrificing one life to save five is morally questionable and involves directly causing harm to an innocent individual.
ecc5e70b-b2b9-4757-8035-1cac0efd506f,D4,neutral,3,"The action involves sacrificing one individual for the benefit of five others, which raises ethical concerns about the value of individual life versus the greater good."
ecc5e70b-b2b9-4757-8035-1cac0efd506f,D5,neutral,2,"Lying under oath undermines the justice system and the truth, which are essential for a fair society."
ecc5e70b-b2b9-4757-8035-1cac0efd506f,D6,neutral,1,"Framing an innocent person is morally wrong and violates their rights, regardless of the potential benefits."
34f58af2-1eca-4151-9aad-13f1471b8cc3,D1,neutral,6,Utilitarian principle of maximizing overall good by saving more lives.
